sample_name,res_name
R1,R1.hg19_multianno.txt
R2,R2.hg19_multianno.txt
R3,R3.hg19_multianno.txt
R4,R4.hg19_multianno.txt
08H,08H.hg19_multianno.txt
08H-1,08H-1.hg19_multianno.txt
C1,C1.hg19_multianno.txt
C12,C12.hg19_multianno.txt
C13,C13.hg19_multianno.txt
C14,C14.hg19_multianno.txt
C15,C15.hg19_multianno.txt
C16,C16.hg19_multianno.txt
C17,C17.hg19_multianno.txt
C2,C2.hg19_multianno.txt
C20,C20.hg19_multianno.txt
C21,C21.hg19_multianno.txt
C22,C22.hg19_multianno.txt
C23,C23.hg19_multianno.txt
C24,C24.hg19_multianno.txt
C25,C25.hg19_multianno.txt
C26,C26.hg19_multianno.txt
C27,C27.hg19_multianno.txt
C28,C28.hg19_multianno.txt
C29,C29.hg19_multianno.txt
C3,C3.hg19_multianno.txt
C30,C30.hg19_multianno.txt
C31,C31.hg19_multianno.txt
C32,C32.hg19_multianno.txt
C33,C33.hg19_multianno.txt
C34,C34.hg19_multianno.txt
C35,C35.hg19_multianno.txt
C36,C36.hg19_multianno.txt
C37,C37.hg19_multianno.txt
C38,C38.hg19_multianno.txt
C39,C39.hg19_multianno.txt
C4,C4.hg19_multianno.txt
C40,C40.hg19_multianno.txt
C41,C41.hg19_multianno.txt
C42,C42.hg19_multianno.txt
C43,C43.hg19_multianno.txt
C44,C44.hg19_multianno.txt
C45,C45.hg19_multianno.txt
C46,C46.hg19_multianno.txt
C47,C47.hg19_multianno.txt
C48,C48.hg19_multianno.txt
C49,C49.hg19_multianno.txt
C5,C5.hg19_multianno.txt
C50,C50.hg19_multianno.txt
C51,C51.hg19_multianno.txt
C52,C52.hg19_multianno.txt
C53,C53.hg19_multianno.txt
C54,C54.hg19_multianno.txt
C55,C55.hg19_multianno.txt
C56,C56.hg19_multianno.txt
C57,C57.hg19_multianno.txt
C58,C58.hg19_multianno.txt
C59,C59.hg19_multianno.txt
C6,C6.hg19_multianno.txt
C60,C60.hg19_multianno.txt
C7,C7.hg19_multianno.txt
C9,C9.hg19_multianno.txt
CF-C-32,CF-C-32.hg19_multianno.txt
P1,
P10,
P11,
P13,
P14,
P16,
P17,
P18,
P19,
P20,
P21,
P22,
P23,
P25,
P26,
P27,
P28,
P29,
P3,
P30,
P31,
P32,
P33,
P34,
P35,
P36,
P37,
P38,
P39,
P4,
P40,
P41,
P42,
P43,
P44,
P45,
P46,
P47,
P48,
P49,
P5,
P50,
P51,
P52,
P53,
P54,
P6,
P8,
P9,
