,0,Bool
0,R1,True
1,R2,True
2,R3,True
3,R4,True
4,08H,True
5,08H-1,True
6,C1,True
7,C12,True
8,C13,True
9,C14,True
10,C15,True
11,C16,True
12,C17,True
13,C2,True
14,C20,True
15,C21,True
16,C22,True
17,C23,True
18,C24,True
19,C25,True
20,C26,True
21,C27,True
22,C28,True
23,C29,True
24,C3,True
25,C30,True
26,C31,True
27,C32,True
28,C33,True
29,C34,True
30,C35,True
31,C36,True
32,C37,True
33,C38,True
34,C39,True
35,C4,True
36,C40,True
37,C41,True
38,C42,True
39,C43,True
40,C44,True
41,C45,True
42,C46,True
43,C47,True
44,C48,True
45,C49,True
46,C5,True
47,C50,True
48,C51,True
49,C52,True
50,C53,True
51,C54,True
52,C55,True
53,C56,True
54,C57,True
55,C58,True
56,C59,True
57,C6,True
58,C60,True
59,C7,True
60,C9,True
61,CF-C-32,True
62,P1,True
63,P10,True
64,P11,True
65,P13,True
66,P14,True
67,P16,True
68,P17,True
69,P18,True
70,P19,True
71,P20,True
72,P21,True
73,P22,True
74,P23,True
75,P25,True
76,P26,True
77,P27,True
78,P28,True
79,P29,True
80,P3,True
81,P30,True
82,P31,True
83,P32,True
84,P33,True
85,P34,True
86,P35,True
87,P36,True
88,P37,True
89,P38,True
90,P39,True
91,P4,True
92,P40,True
93,P41,True
94,P42,True
95,P43,True
96,P44,True
97,P45,True
98,P46,True
99,P47,True
100,P48,True
101,P49,True
102,P5,True
103,P50,True
104,P51,True
105,P52,True
106,P53,True
107,P54,True
108,P6,True
109,P8,True
110,P9,True
